filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
079.txt,text,1559,comb,0.0006444454193115234,1458,0.9352148813341886
080.txt,text,1282,comb,0.0005478858947753906,1222,0.953198127925117
081.txt,text,1528,comb,0.0005993843078613281,1425,0.9325916230366492
082.txt,text,1222,comb,0.0005140304565429688,1322,1.0818330605564648
083.txt,text,3049,comb,0.0017921924591064453,2406,0.7891111839947523
084.txt,text,1328,comb,0.001344442367553711,1295,0.9751506024096386
085.txt,text,1438,comb,0.0014157295227050781,1359,0.9450625869262865
086.txt,text,1170,comb,0.0012509822845458984,1235,1.0555555555555556
087.txt,text,1845,comb,0.001649618148803711,1636,0.886720867208672
088.txt,text,1204,comb,0.0013124942779541016,1279,1.0622923588039868
089.txt,text,2189,comb,0.002129793167114258,1958,0.8944723618090452
090.txt,text,2363,comb,0.002314329147338867,2058,0.8709267879813796
091.txt,text,1896,comb,0.001377105712890625,1767,0.9319620253164557
092.txt,text,2263,comb,0.0010600090026855469,1933,0.8541758727353072
093.txt,text,1930,comb,0.0009665489196777344,1734,0.8984455958549222
094.txt,text,1226,comb,0.0006563663482666016,1202,0.9804241435562806
095.txt,text,1568,comb,0.0007908344268798828,1483,0.9457908163265306
096.txt,text,931,comb,0.0005505084991455078,1012,1.0870032223415682
097.txt,text,2635,comb,0.001844644546508789,2212,0.8394686907020873
098.txt,text,1341,comb,0.0014014244079589844,1328,0.9903057419835943
099.txt,text,2479,comb,0.002093791961669922,2084,0.8406615570794675
100.txt,text,2059,comb,0.0020072460174560547,1768,0.8586692569208354
101.txt,text,2144,comb,0.0022852420806884766,1845,0.8605410447761194
102.txt,text,1413,comb,0.0011756420135498047,1369,0.9688605803255484
103.txt,text,2809,comb,0.0022716522216796875,2274,0.8095407618369527
104.txt,text,2294,comb,0.0019173622131347656,2060,0.8979947689625108
105.txt,text,1296,comb,0.0011339187622070312,1357,1.0470679012345678
106.txt,text,1762,comb,0.0016505718231201172,1648,0.9353007945516458
107.txt,text,1873,comb,0.0016314983367919922,1644,0.8777362520021356
108.txt,text,1073,comb,0.0007390975952148438,1105,1.0298229263746506
109.txt,text,849,comb,0.0006415843963623047,971,1.143698468786808
110.txt,text,1636,comb,0.0011174678802490234,1580,0.9657701711491442
111.txt,text,3204,comb,0.0018019676208496094,2566,0.8008739076154806
112.txt,text,1790,comb,0.0011873245239257812,1669,0.9324022346368716
113.txt,text,2383,comb,0.0011096000671386719,1860,0.78052874527906
114.txt,text,2076,comb,0.0010242462158203125,1774,0.8545279383429673
115.txt,text,1251,comb,0.0006983280181884766,1342,1.0727418065547563
116.txt,text,1506,comb,0.0008540153503417969,1485,0.9860557768924303
117.txt,text,2611,comb,0.0011603832244873047,2190,0.8387590961317503
118.txt,text,1376,comb,0.0006544589996337891,1404,1.0203488372093024
119.txt,text,2805,comb,0.0011987686157226562,2252,0.8028520499108734
120.txt,text,1862,comb,0.0007596015930175781,1689,0.9070891514500538
121.txt,text,3026,comb,0.0010442733764648438,2410,0.7964309319233311
122.txt,text,2411,comb,0.0009369850158691406,2029,0.8415595188718374
123.txt,text,1105,comb,0.0005407333374023438,1223,1.1067873303167421
124.txt,text,1019,comb,0.0005698204040527344,1128,1.1069676153091266
125.txt,text,1413,comb,0.0006780624389648438,1424,1.0077848549186128
126.txt,text,2156,comb,0.0008652210235595703,1913,0.887291280148423
127.txt,text,2846,comb,0.0010120868682861328,2302,0.808854532677442
128.txt,text,1824,comb,0.0007874965667724609,1742,0.9550438596491229
129.txt,text,1040,comb,0.00044417381286621094,1109,1.0663461538461538
130.txt,text,2518,comb,0.0009844303131103516,2116,0.840349483717236
131.txt,text,2759,comb,0.0010471343994140625,2241,0.8122508155128669
132.txt,text,1285,comb,0.0005621910095214844,1330,1.0350194552529184
133.txt,text,1806,comb,0.0006918907165527344,1624,0.8992248062015504
134.txt,text,2148,comb,0.0008358955383300781,1900,0.8845437616387337
135.txt,text,2385,comb,0.0009737014770507812,1997,0.8373165618448637
136.txt,text,3267,comb,0.0011746883392333984,2516,0.7701254973982247
137.txt,text,1279,comb,0.0005846023559570312,1293,1.0109460516028146
138.txt,text,1769,comb,0.0007255077362060547,1651,0.933295647258338
139.txt,text,1950,comb,0.0007314682006835938,1747,0.8958974358974359
140.txt,text,2599,comb,0.001026153564453125,2194,0.844170834936514
141.txt,text,1495,comb,0.0006415843963623047,1402,0.9377926421404682
142.txt,text,2047,comb,0.000789642333984375,1791,0.8749389350268686
143.txt,text,1558,comb,0.0006709098815917969,1512,0.9704749679075738
144.txt,text,912,comb,0.0004315376281738281,1010,1.1074561403508771
145.txt,text,1586,comb,0.0007290840148925781,1565,0.9867591424968474
146.txt,text,5154,comb,0.0014219284057617188,3435,0.6664726426076834
147.txt,text,1269,comb,0.0005578994750976562,1251,0.9858156028368794
148.txt,text,1477,comb,0.0006556510925292969,1441,0.975626269465132
149.txt,text,3495,comb,0.0011773109436035156,2662,0.761659513590844
150.txt,text,2248,comb,0.0008397102355957031,1955,0.869661921708185
151.txt,text,1667,comb,0.0007300376892089844,1557,0.9340131973605279
152.txt,text,1860,comb,0.0006742477416992188,1661,0.8930107526881721
153.txt,text,2300,comb,0.0008997917175292969,1852,0.8052173913043478
154.txt,text,2173,comb,0.0008745193481445312,1875,0.8628624022089277
155.txt,text,1643,comb,0.000667572021484375,1497,0.9111381618989653
156.txt,text,1704,comb,0.0006725788116455078,1614,0.9471830985915493
157.txt,text,1599,comb,0.0006756782531738281,1528,0.9555972482801751
158.txt,text,901,comb,0.00047278404235839844,1002,1.1120976692563818
159.txt,text,3870,comb,0.0013875961303710938,2802,0.724031007751938
160.txt,text,2125,comb,0.0008399486541748047,1937,0.9115294117647059
