filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
373.txt,text,1052,huffman,7.700920104980469e-05,786,0.747148288973384
374.txt,text,1687,huffman,9.822845458984375e-05,1173,0.6953171310017783
375.txt,text,1707,huffman,9.632110595703125e-05,1177,0.6895137668424136
376.txt,text,1948,huffman,0.00010323524475097656,1316,0.675564681724846
377.txt,text,879,huffman,6.508827209472656e-05,645,0.7337883959044369
378.txt,text,1340,huffman,9.179115295410156e-05,945,0.7052238805970149
379.txt,text,1359,huffman,7.700920104980469e-05,945,0.695364238410596
380.txt,text,1425,huffman,7.939338684082031e-05,966,0.6778947368421052
381.txt,text,1370,huffman,9.942054748535156e-05,986,0.7197080291970803
382.txt,text,1807,huffman,9.1552734375e-05,1186,0.6563364692861096
383.txt,text,1825,huffman,0.00011301040649414062,1279,0.7008219178082192
384.txt,text,2010,huffman,0.0001220703125,1371,0.682089552238806
385.txt,text,1118,huffman,8.916854858398438e-05,851,0.761180679785331
386.txt,text,1933,huffman,0.00010251998901367188,1302,0.6735644076564925
387.txt,text,2086,huffman,0.0001227855682373047,1427,0.6840843720038351
388.txt,text,1763,huffman,0.00011706352233886719,1190,0.6749858196256381
389.txt,text,1637,huffman,8.296966552734375e-05,1091,0.6664630421502749
390.txt,text,1432,huffman,7.867813110351562e-05,980,0.6843575418994413
391.txt,text,2189,huffman,0.00011992454528808594,1473,0.672910004568296
392.txt,text,2157,huffman,0.00011515617370605469,1450,0.6722299490032453
393.txt,text,1987,huffman,0.00012826919555664062,1384,0.696527428283845
394.txt,text,1008,huffman,7.677078247070312e-05,752,0.746031746031746
395.txt,text,1551,huffman,9.465217590332031e-05,1078,0.6950354609929078
396.txt,text,884,huffman,7.462501525878906e-05,693,0.7839366515837104
397.txt,text,2136,huffman,0.0001125335693359375,1432,0.6704119850187266
398.txt,text,1551,huffman,0.00010848045349121094,1096,0.7066408768536429
399.txt,text,3354,huffman,0.0001461505889892578,2183,0.6508646392367322
400.txt,text,2109,huffman,9.202957153320312e-05,1372,0.6505452821242295
401.txt,text,1836,huffman,9.799003601074219e-05,1233,0.6715686274509803
402.txt,text,1811,huffman,0.00011491775512695312,1222,0.6747653230259525
403.txt,text,2315,huffman,0.000125885009765625,1546,0.6678185745140389
404.txt,text,1575,huffman,9.918212890625e-05,1100,0.6984126984126984
405.txt,text,2856,huffman,0.0001266002655029297,1851,0.648109243697479
406.txt,text,2902,huffman,0.0001399517059326172,1875,0.646106133700896
407.txt,text,1519,huffman,0.0001227855682373047,1083,0.7129690585911784
408.txt,text,922,huffman,0.00011038780212402344,721,0.7819956616052061
409.txt,text,3997,huffman,0.00015473365783691406,2559,0.6402301726294721
